Term; link;vidstart; level; text; start;minutes;seconds
IIW;https://internetidentityworkshop.com;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m03s;7;Internet Identity Workshop twice in a year un-conference since 2005; 0:00:03.520;00;03
KERI;https://github.com/WebOfTrust/keri;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m12s;7;Key Event Receipt Infrastructure; 0:00:12.480;00;12
repo;https://github.com/trustoverip/acdc/wiki/repo;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m27s;3;Software repository;0:00:27.600;00;27
KERIpy;https://github.com/WebOfTrust/keripy;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m27s;7;Python implementation of KERI; 0:00:27.600;00;27
repo;https://github.com/trustoverip/acdc/wiki/repo;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m33s;1;Software repository; 0:00:33.120;00;33
coroutines;https://github.com/trustoverip/acdc/wiki/coroutines;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m41s;1;Computer programs that can be suspended and resumed at will.; 0:00:41.840;00;41
I/O;https://github.com/trustoverip/acdc/wiki/input-output-(I-O);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m41s;1;Input / output; 0:00:41.840;00;41
HIO;https://github.com/trustoverip/acdc/wiki/hio;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m41s;7;Hierarchical asynchronous coroutines and I/O in Python; 0:00:41.840;00;41
Sam Smith;https://www.linkedin.com/in/samuel-m-smith/;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m41s;7;Samuel M. Smith PhD, Inventor and lead developer of KERI; 0:00:41.840;00;41
python;https://www.python.org;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m49s;3;Programming Language; 0:00:49.840;00;49
clone;https://github.com/trustoverip/acdc/wiki/clone;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=00m55s;3;A copy of a system that is - and works exactly as the original; 0:00:55.200;00;55
branch;https://github.com/trustoverip/acdc/wiki/branch;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=01m00s;3;A duplicate of an object under version control for further separate modification; 0:01:00.000;01;00
kli;https://github.com/trustoverip/acdc/wiki/kli;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=01m12s;7;KERI command line interface; 0:01:12.960;01;12
Kubernetes;https://kubernetes.io;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=01m18s;3;Kubernetes is an open source platform for managing software containers; 0:01:18.720;01;18
kubectl;https://kubernetes.io/docs/reference/kubectl/;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=01m18s;7;Kubernetes command line interface; 0:01:18.720;01;18
verifiable credentials;https://github.com/trustoverip/acdc/wiki/verifiable-credential-(VC);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=01m26s;1;The digital variant of our daily live's credentials (ike passport, driver's license), but in a machine-verifiable way; 0:01:26.080;01;26
Docker containers;https://www.docker.com;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=01m38s;3;Docker takes away repetitive, mundane configuration tasks and is used for application development; 0:01:38.320;01;38
sub shell;https://github.com/trustoverip/acdc/wiki/sub-shell;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=01m46s;1;a child shell started up from - and contained in another parent shell; 0:01:46.640;01;46
agent;https://github.com/trustoverip/acdc/wiki/agent;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m01s;3;A representative for an identity; 0:02:01.840;02;01
cloud agent;https://github.com/trustoverip/acdc/wiki/cloud-agent;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m01s;3;Cloud agent is software that is installed on the cloud server instances for  security, monitoring, and analysis; 0:02:01.840;02;01
Py installer;https://pypi.org/project/pyinstaller/;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m09s;3;Python installer bundles a Python application and all its dependencies into a single package; 0:02:09.200;02;09
